"sig_noise_ratio","radius","n","FWHM","smoothing","replicates","k"
3,7.04189583547756,140,5,3,100,12
3,7.04189583547756,75,5,3,100,12
3,7.04189583547756,60,5,3,100,12
3,7.04189583547756,45,5,3,100,12
3,6.0360251190292,140,5,3,100,12
3,6.0360251190292,75,5,3,100,12
3,6.0360251190292,60,5,3,100,12
3,6.0360251190292,45,5,3,100,12
3,4.70942280401433,140,5,3,100,12
3,4.70942280401433,75,5,3,100,12
3,4.70942280401433,60,5,3,100,12
3,4.70942280401433,45,5,3,100,12
3,7.04189583547756,140,3,3,100,5
3,7.04189583547756,75,3,3,100,5
3,7.04189583547756,60,3,3,100,5
3,7.04189583547756,45,3,3,100,5
3,6.0360251190292,140,3,3,100,5
3,6.0360251190292,75,3,3,100,5
3,6.0360251190292,60,3,3,100,5
3,6.0360251190292,45,3,3,100,5
3,4.70942280401433,140,3,3,100,5
3,4.70942280401433,75,3,3,100,5
3,4.70942280401433,60,3,3,100,5
3,4.70942280401433,45,3,3,100,5
3,7.04189583547756,140,5,3,100,12
3,7.04189583547756,75,5,3,100,12
3,7.04189583547756,60,5,3,100,12
3,7.04189583547756,45,5,3,100,12
3,6.0360251190292,140,5,3,100,12
3,6.0360251190292,75,5,3,100,12
3,6.0360251190292,60,5,3,100,12
3,6.0360251190292,45,5,3,100,12
3,4.70942280401433,140,5,3,100,12
3,4.70942280401433,75,5,3,100,12
3,4.70942280401433,60,5,3,100,12
3,4.70942280401433,45,5,3,100,12
3,7.04189583547756,140,3,3,100,5
3,7.04189583547756,75,3,3,100,5
3,7.04189583547756,60,3,3,100,5
3,7.04189583547756,45,3,3,100,5
3,6.0360251190292,140,3,3,100,5
3,6.0360251190292,75,3,3,100,5
3,6.0360251190292,60,3,3,100,5
3,6.0360251190292,45,3,3,100,5
3,4.70942280401433,140,3,3,100,5
3,4.70942280401433,75,3,3,100,5
3,4.70942280401433,60,3,3,100,5
3,4.70942280401433,45,3,3,100,5
3,4.70942280401433,140,5,3,100,12
3,4.70942280401433,75,5,3,100,12
3,4.70942280401433,60,5,3,100,12
3,4.70942280401433,45,5,3,100,12
3,4.70942280401433,140,3,3,100,5
3,4.70942280401433,75,3,3,100,5
3,4.70942280401433,60,3,3,100,5
3,4.70942280401433,45,3,3,100,5
0,7.04189583547756,140,5,0,100,12
0,7.04189583547756,75,5,0,100,12
0,7.04189583547756,60,5,0,100,12
0,7.04189583547756,45,5,0,100,12
0,6.0360251190292,140,5,0,100,12
0,6.0360251190292,75,5,0,100,12
0,6.0360251190292,60,5,0,100,12
0,6.0360251190292,45,5,0,100,12
0,4.70942280401433,140,5,0,100,12
0,4.70942280401433,75,5,0,100,12
0,4.70942280401433,60,5,0,100,12
0,4.70942280401433,45,5,0,100,12
0,7.04189583547756,140,3,0,100,5
0,7.04189583547756,75,3,0,100,5
0,7.04189583547756,60,3,0,100,5
0,7.04189583547756,45,3,0,100,5
0,6.0360251190292,140,3,0,100,5
0,6.0360251190292,75,3,0,100,5
0,6.0360251190292,60,3,0,100,5
0,6.0360251190292,45,3,0,100,5
0,4.70942280401433,140,3,0,100,5
0,4.70942280401433,75,3,0,100,5
0,4.70942280401433,60,3,0,100,5
0,4.70942280401433,45,3,0,100,5
0,7.04189583547756,140,5,0,100,12
0,7.04189583547756,75,5,0,100,12
0,7.04189583547756,60,5,0,100,12
0,7.04189583547756,45,5,0,100,12
0,6.0360251190292,140,5,0,100,12
0,6.0360251190292,75,5,0,100,12
0,6.0360251190292,60,5,0,100,12
0,6.0360251190292,45,5,0,100,12
0,4.70942280401433,140,5,0,100,12
0,4.70942280401433,75,5,0,100,12
0,4.70942280401433,60,5,0,100,12
0,4.70942280401433,45,5,0,100,12
0,7.04189583547756,140,3,0,100,5
0,7.04189583547756,75,3,0,100,5
0,7.04189583547756,60,3,0,100,5
0,7.04189583547756,45,3,0,100,5
0,6.0360251190292,140,3,0,100,5
0,6.0360251190292,75,3,0,100,5
0,6.0360251190292,60,3,0,100,5
0,6.0360251190292,45,3,0,100,5
0,4.70942280401433,140,3,0,100,5
0,4.70942280401433,75,3,0,100,5
0,4.70942280401433,60,3,0,100,5
0,4.70942280401433,45,3,0,100,5
0,4.70942280401433,140,5,0,100,12
0,4.70942280401433,75,5,0,100,12
0,4.70942280401433,60,5,0,100,12
0,4.70942280401433,45,5,0,100,12
0,4.70942280401433,140,3,0,100,5
0,4.70942280401433,75,3,0,100,5
0,4.70942280401433,60,3,0,100,5
0,4.70942280401433,45,3,0,100,5
